Continent,Non-State,Country,Country Code,Legal (all genders),Age Of consent,Gender,Penalising text,Promotion/Morality,Ma.x Sentences (M)onths and (Y)ears,Death Sentence,Arrests in past 3 years?,Ban on NGOs,NRHI - SO-inclusive? ,Constitution Protection,Employment Protection,Other Protection,Hate Crime Protection,Incitemenrt Protection,CT Ban Protection,Marriage Recognition,Civil recognition,Joint adoption,2nd parent adoption,GDP (current US$) - 2007,GDP (current US$) - 2008,GDP (current US$) - 2009,GDP (current US$) - 2010,GDP (current US$) - 2011,GDP (current US$) - 2012,GDP (current US$) - 2013,GDP (current US$) - 2014,GDP (current US$) - 2015,GDP (current US$) - 2016,GDP (current US$) - 2017,Research and development expenditure (% of GDP) - 2007,Research and development expenditure (% of GDP) - 2008,Research and development expenditure (% of GDP) - 2009,Research and development expenditure (% of GDP) - 2010,Research and development expenditure (% of GDP) - 2011,Research and development expenditure (% of GDP) - 2012,Research and development expenditure (% of GDP) - 2013,Research and development expenditure (% of GDP) - 2014,Research and development expenditure (% of GDP) - 2015,Research and development expenditure (% of GDP) - 2016,Research and development expenditure (% of GDP) - 2017,GDP per capita (current US$) - 2007,GDP per capita (current US$) - 2008,GDP per capita (current US$) - 2009,GDP per capita (current US$) - 2010,GDP per capita (current US$) - 2011,GDP per capita (current US$) - 2012,GDP per capita (current US$) - 2013,GDP per capita (current US$) - 2014,GDP per capita (current US$) - 2015,GDP per capita (current US$) - 2016,GDP per capita (current US$) - 2017
EU,,Azerbaijan,AZE,Legal,Equal,NA,NA,NA,NA,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,33050343783,48852482960,44291490421,52902703376,65951627200,69683935845,74164435946,75244294275,53074468085,37867518957,40865558912,0.16554,0.24976,0.21848,0.2184,0.21427,0.2969,0.2978,0.2978,0.2637,0.18521,,3851.437869,5574.603802,4950.294791,5842.805784,7189.691229,7496.294648,7875.756953,7891.313147,5500.320497,3880.738731,4147.089716
EU,,Belarus,BLR,Legal,Equal,NA,NA,NA,NA,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,45277399814,60763483146,50874078052,58665088956,61757788945,65685102555,75527984234,78813839984,56454734397,47722657821,54726595249,0.74147,0.64269,0.66913,0.6776,0.6463,0.65191,0.5548,0.5548,0.563,0.58716,,4735.657608,6377.369732,5351.355382,6181.399916,6519.230195,6940.159254,7978.872615,8318.51269,5949.106307,5022.626643,5761.74712
EU,,Belgium,BEL,Legal,Equal,NA,NA,NA,NA,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,4.70E+11,5.15E+11,4.81E+11,4.81E+11,5.23E+11,4.96E+11,5.22E+11,5.35E+11,4.62E+11,4.76E+11,5.03E+11,1.92413,1.98537,2.581,2.15533,2.27334,2.33393,2.38746,2.38746,2.5573,2.6617,,44262.896,48106.89292,44583.54481,44141.87814,47348.52502,44673.11588,46744.66254,47700.54036,40991.80814,42012.0999,44219.562
EU,,Bosnia and Herzegovina,BIH,Legal,Equal,NA,NA,NA,NA,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,15778767670,19112739664,17613836210,17176781337,18644723861,17226849297,18178503835,18558343508,16211540686,16913330694,18080118128,0.1842,0.216,,,0.26533,0.32132,0.25725,0.25725,0.21597,0.19951,,4193.373652,5090.932345,4714.702495,4635.517779,5092.551943,4778.636088,5131.394506,5329.635045,4727.277381,4994.68314,5394.59122
EU,,Bulgaria,BGR,Legal,Equal,NA,NA,NA,NA,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,44411476557,54409138498,51884481410,50610058210,57418414504,53903022339,55555171010,56814543481,50201314895,53240950226,58220973783,0.44787,0.4947,0.56387,0.53191,0.6479,0.63491,0.79492,0.79492,0.786,0.7779,,5885.949252,7261.754492,6969.558557,6843.26695,7813.806692,7378.02473,7646.839866,7864.760672,6993.783483,7469.455638,8228.01157
EU,,Croatia,HRV,Legal,Equal,NA,NA,NA,NA,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,60182977533,70288911413,62666161453,59807966533,62354235671,56494436183,58056951042,57642879510,49530656285,51596929180,55319620158,0.88413,0.84425,0.74265,0.757,0.757,0.81117,0.78324,0.78324,0.86748,0.876,,13962.86487,16309.44842,14555.98765,13923.63705,14566.62973,13238.11795,13642.19778,13600.18618,11782.90255,12360.47326,13412.34195
EU,,Cyprus,CYP,Legal,Equal,NA,NA,NA,NA,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,23968764030,27844698989,25945391775,25732432719,27565469098,24978513427,23900872626,23128114787,19779150116,20890936462,22638608224,0.3861,0.44442,0.44663,0.45554,0.43778,0.48218,0.5847,0.5847,0.54237,0.56574,,31244.92801,35391.04006,32105.86748,30818.47993,32233.64339,28984.94455,27942.30127,27407.15286,23217.48415,24019.13787,25760.7627
EU,,Czech Republic,CZE,Legal,Equal,NA,NA,NA,NA,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,1.89E+11,2.36E+11,2.06E+11,2.07E+11,2.28E+11,2.07E+11,2.09E+11,2.08E+11,1.87E+11,1.95E+11,2.16E+11,1.23933,1.29438,1.33688,1.55571,1.78231,1.89973,1.97285,1.97285,1.6783,1.79235,,18373.649,22698.85396,19741.59763,19808.07109,21717.45794,19729.87051,19916.01939,19744.55861,17715.61685,18463.38658,20379.89604
EU,,Denmark,DNK,Legal,Equal,NA,NA,NA,NA,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,3.19E+11,3.53E+11,3.21E+11,3.22E+11,3.44E+11,3.27E+11,3.44E+11,3.53E+11,3.03E+11,3.13E+11,3.29E+11,2.77346,3.5514,2.9177,2.94465,2.98125,2.9748,2.9144,2.9144,3.1739,3.128,,58487.05497,64322.0635,58163.27688,58041.39844,61753.64713,58507.50805,61191.1937,62548.98473,53254.856,54663.99837,57141.05984
EU,,Estonia,EST,Legal,Equal,NA,NA,NA,NA,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,22445582946,24371299985,19744110447,19685033799,23394843529,23192709239,25271407239,26773472962,23048864243,23996451498,26792757827,1.25952,1.39541,1.58162,2.3655,2.12265,1.72216,1.4563,1.4563,1.28134,1.323,,16741.93912,18227.12008,14794.97079,14784.38108,17624.04414,17534.42154,19174.10073,20367.10266,17522.23019,18237.29584,20337.84973
